map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
289,Cuculus clamosus,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_086_1
290,Cuculus canorus canorus,,Cuculidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_086_2
290,Cuculus canorus gularis,Cuculus gularis,Cuculidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_086_3
291,Chrysococcyx klaas,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_086_4
292,Chrysococcyx caprius,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_086_5
293,Chrysococcyx cupreus,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_087_1
294,Ceuthmochares aereus,,Cuculidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_087_2
295,Ceniropus toulou,Centropus grillii,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_087_3
296,Centropus leucogaster,,Cuculidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_087_4
,Centropus monachus,,Cuculidae,TRUE,FALSE,FALSE,FALSE,
297,Centropus senegalensis,,Cuculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_087_5
298,Tyto aiba,,Tytonidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_088_1
299,Otus scops,,Strigidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_088_2
300,Otus leucotis,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_088_3
301,Bubo ascalaphus,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_088_4
302,Bubo africanus,Bubo cinerascens,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_088_5
303,Bubo lacteus,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_089_1
304,Scotopelia peli,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_089_2
305,Glaucidium perlatum,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_089_3
306,Ciccaba woodfordi,,Strigidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_089_4
307,Asio flammmeus,,Strigidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_089_5
308,Asio capensis,,Strigidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_1
309,Caprimuigus ruficollis,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_2
310,Caprimuigus europaeus,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_3
311,Caprimuigus aegyptius,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_4
312,Caprimuigus eximius,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_5
313,Caprimulgus pectoralis,,Caprimulgidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_090_6
314,Caprimuigus natalensis,,Caprimulgidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_1
315,Caprimulgus inornatus,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_2
316,Caprimulgus climacurus,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_3
317,Macrodipteryx longipennis,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_4
318,Macrodipteryx vexillarius,,Caprimulgidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_5
319,Apus melba,,Apodidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_091_6
320,Apus pallidus,,Apodidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_092_1
321,Apus apus,,Apodidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_092_2
322,Apus caffer,,Apodidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_092_3
323,Apus affinis,,Apodidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_092_4
324,Cypsiurus parvus,,Apodidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_092_5
325,Chaetura ussheri,,Apodidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_093_1
326,Colius macrourus,Urocolius macrourus,Lamiaceae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_093_2
327,Ceryle maxima,Megaceryle maxima,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_093_3
328,Ceryle rudis,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_093_4
329,Alcedo quadribrachys,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_093_5
330,Alcedo cristata,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_094_1
331,Ceyx picta,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_094_2
332,Halcyon senegalensis,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_094_3
333,Halcyon malimbica,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_094_4
334,Halcyon chelicuti,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_094_5
335,Halcyon leucocephala,,Alcedinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_095_1
336,Merops apiaster,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_095_2
337,Merops superciliosus,Merops persicus,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_095_3
338,Merops orientalis,Merops viridissimus,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_095_4
339,Merops nubicus,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_096_1
340,Merops albicollis,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_096_2
341,Merops pusillus,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_096_3
342,Merops bulocki,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_096_4
343,Merops hirundineus,,Meropidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_097_1
344,Coracias garrulus,,Coraciidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_097_2
345,Coracias abyssinica,,Coraciidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_097_3
346,Coracias naevia,,Coraciidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_097_4
347,Coracias cyanogaster,,Coraciidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_097_5
348,Eurystomus glaucurus,,Coraciidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_098_1
,Eurystomus gularis,,Coraciidae,TRUE,FALSE,FALSE,FALSE,
349,Upupa epops,,Upupidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_098_2
350,Phoeniculus purpureus,,Phoeniculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_098_3
,Phoeniculus bollei,,Phoeniculidae,TRUE,TRUE,FALSE,FALSE,
351,Phoeniculus aterrimus,Rhinopomastus aterrimus,Phoeniculidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_1
352,Tockus nasutus,,Bucerotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_099_2
